timestamp,CHANNEL,METRIC_NAME,LIFT
2025-02-01,Any,Age - 18-24,0.8470322580645161
2025-02-01,Any,Age - 25-34,0.006000000000000003
2025-02-01,Any,Age - 35-44,0.036258064516129035
2025-02-01,Any,Age - 45-54,0.10975806451612903
2025-02-01,Any,Any - Any,0.043983870967741936
2025-02-01,Any,"Children in HH -  Yes, age 0-6",0.09427419354838709
2025-02-01,Any,"Children in HH -  Yes, age 13-17",-0.009000000000000001
2025-02-01,Any,"Children in HH -  Yes, age 7-12",0.03493548387096774
2025-02-01,Any,Children in HH - No,0.07593548387096774
2025-02-01,Any,DashPass Benefit Awareness - $0 Delivery + 1 Other Benefit (DP aware non-users),0.09366129032258065
2025-02-01,Any,DashPass Benefit Awareness - $0 Delivery + 1 Other Benefit (DP users),0.04551612903225807
2025-02-01,Any,DashPass Use - Have not heard of it,0.2671774193548387
2025-02-01,Any,DashPass Use - Heard of it but haven't used it,0.09362903225806453
2025-02-01,Any,DashPass Use - Use it now,0.025161290322580646
2025-02-01,Any,DashPass Use - Used in the past but do not use now,0.08153225806451614
2025-02-01,Any,"Delivery Category -  Groceries (e.g., dairy, eggs, produce, meat, bread, snacks, pasta, etc.)",0.05893548387096774
2025-02-01,Any,"Delivery Category -  Household Essentials (e.g., paper towels, toilet paper, cleaning supplies, organizers, etc.)",0.17506451612903223
2025-02-01,Any,"Delivery Category -  Personal Care &amp; Beauty (e.g., cosmetics/makeup, bath and body, skincare, feminine care, etc.)",0.06635483870967741
2025-02-01,Any,"Delivery Category -  Prepared Restaurant Food (e.g., pizza, Thai food, Mexican food, sushi, etc.)",0.08366129032258066
2025-02-01,Any,Delivery Category - None of the above,0.33417741935483875
2025-02-01,Any,"Digital Frequency (1, 2-3, 4-9, 10-19, 20+) with Control  - 1",0.16006451612903225
2025-02-01,Any,"Digital Frequency (1, 2-3, 4-9, 10-19, 20+) with Control  - 10-19",0.16633870967741937
2025-02-01,Any,"Digital Frequency (1, 2-3, 4-9, 10-19, 20+) with Control  - 2-3",0.18261290322580645
2025-02-01,Any,"Digital Frequency (1, 2-3, 4-9, 10-19, 20+) with Control  - 20+",0.15511290322580643
2025-02-01,Any,"Digital Frequency (1, 2-3, 4-9, 10-19, 20+) with Control  - 4-9",0.1525
2025-02-01,Any,Ethnicity - Asian,0.21546774193548388
2025-02-01,Any,Ethnicity - Black/African American,0.39891935483870966
2025-02-01,Any,Ethnicity - Hispanic,0.10362903225806451
2025-02-01,Any,Ethnicity - Native American,-0.1362741935483871
2025-02-01,Any,Ethnicity - Native Hawaiian or Other Pacific Islander,-0.3131935483870968
2025-02-01,Any,Ethnicity - Other,0.2708709677419355
2025-02-01,Any,Ethnicity - Prefer not to answer,-0.14595161290322584
2025-02-01,Any,Ethnicity - White/Caucasian,0.032645161290322584
2025-02-01,Any,Gender - Female,0.023661290322580644
2025-02-01,Any,Gender - I prefer to self identify,0.0
2025-02-01,Any,Gender - Male,0.08209677419354838
2025-02-01,Any,Gender - Non-binary or gender fluid,-0.004612903225806452
2025-02-01,Any,Gender - Prefer not to answer,-0.29866129032258065
2025-02-01,Any,Past Brand Recency - Amazon - I did not use in the past 30 days,0.23180645161290322
2025-02-01,Any,Past Brand Recency - Amazon - Less than once a week,0.122
2025-02-01,Any,Past Brand Recency - Amazon - Once a week,-0.03643548387096774
2025-02-01,Any,Past Brand Recency - Amazon - Several times a week,0.03216129032258065
2025-02-01,Any,Past Brand Recency - DoorDash - I did not use in the past 30 days,0.386241935483871
2025-02-01,Any,Past Brand Recency - DoorDash - Less than once a week,0.21754838709677418
2025-02-01,Any,Past Brand Recency - DoorDash - Once a week,0.00840322580645161
2025-02-01,Any,Past Brand Recency - DoorDash - Several times a week,-0.012645161290322579
2025-02-01,Any,Past Brand Recency - Grubhub - I did not use in the past 30 days,0.043225806451612905
2025-02-01,Any,Past Brand Recency - Grubhub - Less than once a week,0.03346774193548387
2025-02-01,Any,Past Brand Recency - Grubhub - Once a week,0.047370967741935485
2025-02-01,Any,Past Brand Recency - Grubhub - Several times a week,-0.0661774193548387
2025-02-01,Any,Past Brand Recency - Instacart - I did not use in the past 30 days,0.05262903225806452
2025-02-01,Any,Past Brand Recency - Instacart - Less than once a week,-0.028564516129032255
2025-02-01,Any,Past Brand Recency - Instacart - Once a week,0.17491935483870968
2025-02-01,Any,Past Brand Recency - Instacart - Several times a week,0.05793548387096774
2025-02-01,Any,Past Brand Recency - Uber Eats - I did not use in the past 30 days,-0.01088709677419355
2025-02-01,Any,Past Brand Recency - Uber Eats - Less than once a week,0.047435483870967736
2025-02-01,Any,Past Brand Recency - Uber Eats - Once a week,0.09019354838709678
2025-02-01,Any,Past Brand Recency - Uber Eats - Several times a week,0.055161290322580644
2025-02-01,Any,Past Brand Usage - Amazon,0.005693548387096774
