TIME_DATE,METRIC_NAME,MEAN_LIFT,STD_LIFT,COUNT,AVG_SIGNIFICANCE,EXPOSED_POP,CONTROL_POP
2025-10-01,Affinity ,0.02954660979,,1,0.3371077555,470,348
2025-10-01,Aided Awareness,0.02783167622,,1,0.6718985124,470,348
2025-10-01,BA MDS: Is different,-0.01867666887,,1,0.2691701992,470,348
2025-10-01,BA MDS: Meets needs,-0.03409328403,,1,0.4774970837,470,348
2025-10-01,BA MDS: Sets trends,0.004254067034,,1,0.0613927088,470,348
2025-10-01,BA: Has my favorite brands or stores,-0.03829099857,,1,0.5463926745,470,348
2025-10-01,BA: Is a brand I trust,-0.01496817815,,1,0.2304381824,470,348
2025-10-01,BA: Is an essential part of my life,0.00300054514,,1,0.03689747653,470,348
2025-10-01,BA: Makes my life easier,-0.01734591473,,1,0.2790838459,470,348
2025-10-01,BA: Offers a wide selection of brands or stores across a variety of categories,-0.0668021946,,1,0.8350541191,470,348
2025-10-01,Brand Familiarity,0.03661738982,,1,0.587377694,470,348
2025-10-01,Brand Favorability,0.07175314611,,1,0.8640387087,470,348
2025-10-01,Consideration (Top 2 Box),-0.02203994294,,1,0.3335072122,470,348
2025-10-01,DashPass Actions – Saw a Deal,-0.08906447353,,1,0.5938546519,470,348
2025-10-01,DashPass Actions – Talked to others,-0.06673044421,,1,0.453395426,470,348
2025-10-01,DashPass Aided Awareness,-0.01836455444,,1,0.3455688009,470,348
2025-10-01,DashPass Aided Awareness (DD aware non-users),-0.1238685408,,1,0.5266339147,470,348
2025-10-01,DashPass Aided Awareness (DD users),0.004923194076,,1,0.07033673124,470,348
2025-10-01,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP aware non-users),0.1611804536,,1,0.5181947386,470,348
2025-10-01,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP users),-0.05486623736,,1,0.3988751486,470,348
2025-10-01,DashPass Benefits Awareness: $0 delivery fees + 1 Other Benefit,-0.01633958869,,1,0.2028866496,470,348
2025-10-01,DashPass Benefits Awareness: $0 delivery fees on eligible orders,-0.009563805568,,1,0.121857925,470,348
2025-10-01,DashPass Benefits Awareness: Ability to add someone in your household to your DashPass membership for free,-0.08345290505,,1,0.7385875419,470,348
2025-10-01,DashPass Benefits Awareness: Access to exclusive deals for DashPass members,-0.05397435019,,1,0.6195181932,470,348
2025-10-01,DashPass Benefits Awareness: Discounted rides with Lyft,-0.163872789,,1,0.9710770768,470,348
2025-10-01,DashPass Benefits Awareness: Max [HBO] subscription included at no extra cost,-0.05410092417,,1,0.4798332872,470,348
2025-10-01,DashPass Benefits Awareness: Reduced service fees on eligible orders,-0.08304507933,,1,0.8273561853,470,348
2025-10-01,DashPass Benefits: Consistently adds valuable perks and benefits for members,-0.05713888945,,1,0.5942475566,470,348
